Species,Genus,Minimum shell length,Maximum shell length,Average shell length,Minimum shell width,Maximum shell width,Average shell width,Minimum shell depth,Maximum shell depth,Average shell depth,R1,R2,Shell (test) shape,Minimum aperture length,Maximum aperture length,Average aperture length,Minimum aperture width,Maximum aperture width,Average aperture width,R3,R4,Position of the aperture,Degree of invagination of aperture,Aperture rim ,Presence/absence of collar,Shell covering,Presence/absence of internal partitions,Presence/absence of spines or horns,Feeding type
Gibbocarina galeata,Gibbocarina,180,283,231.5,94,190,142,33.56,67.83,50.69,0.61,0.36,pyriform,26,52,39,9.28,18.56,13.92,0.27,0.36,straight terminal,absent,straight,presence,cleptostomes,absence,absence,predatory
Gibbocarina galeata orbicularis,Gibbocarina,166,208,187,140,170,155,49.7,60.35,55.02,0.83,0.35,pyriform,31.64,38.42,35.03,11.23,13.64,12.44,0.23,0.36,straight terminal,absent,straight,presence,cleptostomes,absence,absence,predatory
Gibbocarina gracilis,Gibbocarina,90,130,110,50,60,55,NA,NA,31.07,0.5,0.56,pyriform,NA,NA,19.63,NA,NA,11.09,0.36,0.56,straight terminal,absent,straight,absence,cleptostomes,absence,absence,predatory
Golemanskia viscidula,Golemanskia,180,267,223.5,NA,NA,130.75,NA,NA,110.87,0.58,0.85,ovoid,NA,NA,74,NA,NA,62.75,0.57,0.85,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Heleopera lata,Heleopera,NA,NA,115,NA,NA,100,NA,NA,80,0.87,0.8,ovoid,NA,NA,55,NA,NA,44,0.55,0.8,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Heleopera petricola,Heleopera,80,100,90,51,57,54,40,50,45,0.6,0.83,ovoid,31,34,32.5,25.83,28.33,27.08,0.6,0.83,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Heleopera petricola amethystea,Heleopera,125,150,137.5,NA,NA,82.5,NA,NA,68.72,0.6,0.83,ovoid,NA,NA,49.62,NA,NA,41.33,0.6,0.83,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Heleopera rosea,Heleopera,125,135,130,NA,NA,69.7,NA,NA,55.76,0.54,0.8,ovoid,NA,NA,38.9,NA,NA,31.12,0.56,0.8,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Heleopera sphagni,Heleopera,100,140,120,70,73,71.5,42,51,46.5,0.6,0.65,ovoid,40,45,42.5,26.01,29.27,27.64,0.59,0.65,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Heleopera sylvatica,Heleopera,50,75,62.5,30,50,40,NA,NA,14.2,0.64,0.36,ovoid,NA,NA,38.3,NA,NA,13.6,0.96,0.36,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Hyalosphenia elegans,Hyalosphenia,68,130,99,40,60,50,NA,NA,23.7,0.51,0.47,pyriform,NA,NA,19.45,NA,NA,9.22,0.39,0.47,straight terminal,absent,curved,presence,organic,absence,absence,bacterivory
Hyalosphenia elegans cylindricollis,Hyalosphenia,130,145,137.5,NA,NA,64.76,NA,NA,36.46,0.47,0.56,pyriform,NA,NA,20.24,NA,NA,11.39,0.31,0.56,straight terminal,absent,curved,presence,organic,absence,absence,bacterivory
Hyalosphenia insecta,Hyalosphenia,68,84,76,29,42,35.5,NA,NA,20.55,0.47,0.58,pyriform,NA,NA,13.06,NA,NA,7.56,0.37,0.58,straight terminal,absent,curved,presence,organic,absence,absence,bacterivory
Hyalosphenia minuta,Hyalosphenia,26,41,33.5,16,25,20.5,NA,NA,15.58,0.61,0.76,ovoid,NA,NA,9.84,NA,NA,7.48,0.48,0.76,straight terminal,absent,straight,absence,organic,absence,absence,bacterivory
Hyalosphenia ovalis,Hyalosphenia,130,180,155,90,140,115,NA,NA,57.5,0.74,0.5,ovoid,NA,NA,44.05,NA,NA,22.02,0.38,0.5,straight terminal,absent,straight,presence,organic,absence,absence,bacterivory
Hyalosphenia papilio,Hyalosphenia,90,175,132.5,60,155,107.5,NA,NA,53.75,0.81,0.5,ovoid,NA,NA,48.91,NA,NA,24.46,0.46,0.5,straight terminal,absent,curved,presence,organic,absence,absence,mixotrophy
Hyalosphenia platystoma,Hyalosphenia,40,42,41,28,32,30,NA,NA,13.74,0.73,0.46,ovoid,NA,NA,23.76,NA,NA,10.88,0.79,0.46,straight terminal,absent,straight,absence,organic,absence,absence,bacterivory
Hyalosphenia subflava,Hyalosphenia,45,87,66,30,53,41.5,NA,NA,20.75,0.63,0.5,ovoid,25,47,36,NA,NA,18,0.87,0.5,straight terminal,absent,straight,absence,organic,absence,absence,bacterivory
Jungia sudanensis,Jungia,120,150,135,62,70,66,NA,NA,59.27,0.49,0.9,ovoid,26,32,29,NA,NA,26.04,0.44,0.9,straight terminal,absent,curved,absence,idiosomes,absence,absence,bacterivory
Lagenodifflugia bryophila,Lagenodifflugia,99,146,122.5,55,66,60.5,NA,NA,60.5,0.49,1,pyriform,18,29,23.5,NA,NA,23.5,0.39,1,straight terminal,absent,curved,absence,cleptostomes,presence,absence,predatory
Lagenodifflugia epiouxi,Lagenodifflugia,285,340,312.5,165,190,177.5,NA,NA,168.62,0.57,0.95,pyriform,83,100,91.5,NA,NA,86.92,0.52,0.95,straight terminal,absent,curved,absence,cleptostomes,presence,absence,predatory
Lagenodifflugia montana,Lagenodifflugia,91,125,108,68,81,74.5,NA,NA,74.5,0.69,1,pyriform,15,18,16.5,NA,NA,16.5,0.22,1,straight terminal,absent,curved,absence,cleptostomes,presence,absence,predatory
Lagenodifflugia sphaeroideus,Lagenodifflugia,99,112,105.5,50,60,55,NA,NA,55,0.52,1,pyriform,18,30,24,18,30,24,0.44,1,straight terminal,absent,curved,absence,cleptostomes,presence,absence,predatory
Lagenodifflugia vas,Lagenodifflugia,150,358,254,NA,NA,165.1,NA,NA,165.1,0.65,1,pyriform,NA,NA,71,NA,NA,71,0.43,1,straight terminal,absent,curved,absence,cleptostomes,presence,absence,predatory
Lesquereusia epistomium,Lesquereusia,90,170,130,55,60,57.5,NA,NA,57.5,0.44,1,spiral,NA,NA,37,NA,NA,37,0.64,1,sub terminal,absent,curved,absence,idiosomes,presence,absence,bacterivory
Lesquereusia inequalis,Lesquereusia,NA,NA,135,NA,NA,125,NA,NA,62.5,0.93,0.5,spiral,NA,NA,25.88,NA,NA,12.94,0.21,0.5,sub terminal,absent,curved,absence,idiosomes,presence,absence,bacterivory
Lesquereusia modesta,Lesquereusia,100,174,137,100,159,129.5,75,112,93.5,0.95,0.72,spiral,25,43,34,18.05,31.05,24.55,0.26,0.72,sub terminal,absent,curved,absence,idiosomes,presence,absence,bacterivory
Lesquereusia spiralis,Lesquereusia,90,150,120,86,109,97.5,NA,NA,46.02,0.81,0.47,spiral,NA,NA,40,NA,NA,40,0.41,1,sub terminal,absent,straight,absence,idiosomes,presence,absence,bacterivory
Longinebela penardiana,Longinebela,115,180,147.5,65,80,72.5,37,54,45.5,0.49,0.63,pyriform,23,34,28.5,14.43,21.34,17.89,0.39,0.63,straight terminal,absent,curved,presence,cleptostomes,absence,absence,predatory
Longinebela speciosa,Longinebela,236,272,254,115,123,119,NA,NA,90.1,0.47,0.76,pyriform,NA,NA,48.2,NA,NA,36.49,0.41,0.76,straight terminal,absent,straight,absence,cleptostomes,absence,absence,predatory
Longinebela tubulosa,Longinebela,190,264,227,80,155,117.5,54,71,62.5,0.52,0.53,pyriform,35,63,49,18.62,33.51,26.06,0.42,0.53,straight terminal,absent,curved,presence,cleptostomes,absence,absence,predatory
Meisterfeldia chibisovi,Meisterfeldia,9.5,10.75,10.12,4.5,5.5,5,4.5,5.5,5,0.49,1,ovoid,2.25,3,2.62,2.25,3,2.62,0.52,1,sub terminal,absent,straight,absence,organic,absence,absence,bacterivory
Meisterfeldia polygonia,Meisterfeldia,6.75,7.5,7.12,3.75,4.5,4.12,3.75,4,3.88,0.58,0.94,ovoid,2.5,3,2.75,2.35,2.82,2.58,0.67,0.94,sub terminal,absent,straight,absence,organic,absence,absence,bacterivory
Meisterfeldia vanhoornei,Meisterfeldia,13,15.5,14.25,NA,NA,11.24,8,8.5,8.25,0.79,0.73,ovoid,3.8,4.5,4.15,2.79,3.3,4.15,0.37,1,sub terminal,absent,straight,absence,organic,absence,absence,bacterivory
Microchlamys patella,Microchlamys,NA,NA,10.02,36,50,43,36,50,43,4.29,1,patelliform,NA,NA,12.9,NA,NA,12.9,0.3,1,central ventral,absent,curved,absence,organic,absence,absence,bacterivory
Mrabella subcarinata,Mrabella,150,220,185,70,115,92.5,50,60,55,0.5,0.59,pyriform,33,40,36.5,19.62,23.78,21.7,0.39,0.59,straight terminal,absent,curved,absence,idiosomes,absence,absence,bacterivory
Nebela barbata,Nebela,80,160,120,40,60,50,36,41,38.5,0.42,0.77,pyriform,10,16,13,7.7,12.32,10.01,0.26,0.77,straight terminal,absent,denticular,presence,cleptostomes,absence,presence,predatory
Nebela bohemica,Nebela,65,125,95,61,105,83,NA,NA,53.12,0.87,0.64,pyriform,88,93,90.5,NA,NA,57.92,1.09,0.64,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Nebela carinatella,Nebela,69,87,78,51,69,60,NA,NA,28,0.77,0.47,pyriform,NA,NA,25,NA,NA,11.67,0.42,0.47,straight terminal,absent,straight,presence,cleptostomes,absence,absence,predatory
Nebela collaris,Nebela,98,153,125.5,72,91,81.5,33,42,37.5,0.65,0.46,pyriform,24,35,29.5,11.04,16.1,13.57,0.36,0.46,straight terminal,absent,curved,presence,cleptostomes,absence,absence,predatory
Nebela flabellulum,Nebela,76,88,82,86,95,90.5,35,41,38,1.1,0.42,ovoid,18,25,21.5,7.56,10.5,9.03,0.24,0.42,straight terminal,absent,straight,presence,cleptostomes,absence,absence,predatory
Nebela longitubulata,Nebela,NA,NA,120,NA,NA,45,NA,NA,36,0.38,0.8,pyriform,NA,NA,18,NA,NA,14.4,0.4,0.8,straight terminal,absent,curved,presence,cleptostomes,absence,absence,predatory
