Species,Genus,Minimum shell length,Maximum shell length,Average shell length,Minimum shell width,Maximum shell width,Average shell width,Minimum shell depth,Maximum shell depth,Average shell depth,R1,R2,Shell (test) shape,Minimum aperture length,Maximum aperture length,Average aperture length,Minimum aperture width,Maximum aperture width,Average aperture width,R3,R4,Position of the aperture,Degree of invagination of aperture,Aperture rim ,Presence/absence of collar,Shell covering,Presence/absence of internal partitions,Presence/absence of spines or horns,Feeding type
Phryganella acropodia,Phryganella,20,80,50,35,110,72.5,35,110,72.5,1.45,1,hemisphere,17,45,31,17,45,31,0.43,1,central ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Phryganella acropodia penardi,Phryganella,NA,NA,20.45,20,28,24,20,28,24,1.17,1,hemisphere,NA,NA,8.81,NA,NA,8.81,0.37,1,central ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Phryganella hemisphaerica,Phryganella,NA,NA,26.1,NA,NA,52.2,NA,NA,52.2,2,1,hemisphere,NA,NA,31.8,NA,NA,31.8,0.61,1,central ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Phryganella nidulus,Phryganella,89,157,123,165,356,260.5,165,356,260.5,2.12,1,hemisphere,93,187,125,93,187,125,0.48,1,central ventral,slightly,straight,absence,xenosomes,absence,absence,bacterivory
Phryganella paradoxa,Phryganella,40,60,50,30,40,35,30,40,35,0.7,1,hemisphere,NA,NA,15,NA,NA,15,0.43,1,central ventral,absent,straight,absence,xenosomes,absence,absence,bacterivory
Physochila griseola,Physochila,70,85,77.5,50,58,54,NA,NA,54,0.7,1,pyriform,NA,NA,17.98,NA,NA,17.98,0.33,1,straight terminal,absent,straight,presence,cleptostomes,absence,absence,predatory
Physochila tenella,Physochila,68,85,76.5,40,60,50,30,39,34.5,0.65,0.69,pyriform,NA,NA,29.35,NA,NA,20.25,0.59,0.69,straight terminal,absent,curved,presence,cleptostomes,absence,absence,predatory
Placocista glabra,Placocista,100,130,115,NA,NA,96.48,NA,NA,38.59,0.84,0.4,pyriform,NA,NA,33.38,NA,NA,13.35,0.35,0.4,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Placocista jurassica,Placocista,72,76,74,NA,NA,47.73,NA,NA,19.09,0.64,0.4,ovoid,NA,NA,26.25,NA,NA,10.5,0.55,0.4,straight terminal,absent,straight,absence,idiosomes,absence,presence,bacterivory
Placocista lens,Placocista,65,75,70,45,70,57.5,NA,NA,23,0.82,0.4,ovoid,NA,NA,17.65,NA,NA,7.06,0.31,0.4,straight terminal,absent,straight,absence,idiosomes,absence,presence,bacterivory
Placocista sinuospina,Placocista,100,120,110,NA,NA,80.74,NA,NA,32.3,0.73,0.4,ovoid,NA,NA,55,NA,NA,22,0.68,0.4,straight terminal,absent,straight,absence,idiosomes,absence,presence,bacterivory
Placocista spinosa,Placocista,100,140,120,NA,NA,75.48,NA,NA,30.19,0.63,0.4,ovoid,NA,NA,54.87,NA,NA,21.95,0.73,0.4,straight terminal,absent,straight,absence,idiosomes,absence,presence,bacterivory
Placocista spinosa glabra,Placocista,100,140,120,NA,NA,75.48,NA,NA,30.19,0.63,0.4,ovoid,NA,NA,54.87,NA,NA,21.95,0.73,0.4,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Plagiopyxis callida,Plagiopyxis,67,90,78.5,73,87,80,NA,NA,80,1.02,1,hemisphere,NA,NA,52.3,NA,NA,18.67,0.65,0.36,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Plagiopyxis callida grandis,Plagiopyxis,95,100,97.5,105,150,127.5,NA,NA,127.5,1.31,1,hemisphere,NA,NA,63.75,NA,NA,7.01,0.5,0.11,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Plagiopyxis declivis,Plagiopyxis,48,53,50.5,63,80,71.5,63,80,71.5,1.42,1,hemisphere,NA,NA,27.6,NA,NA,11.84,0.39,0.43,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Plagiopyxis labiata,Plagiopyxis,NA,NA,29.21,50,60,55,50,60,55,1.88,1,hemisphere,NA,NA,26.62,NA,NA,13.31,0.48,0.5,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Plagiopyxis minuta,Plagiopyxis,NA,NA,20,40,45,42.5,40,45,42.5,2.12,1,hemisphere,NA,NA,14.37,NA,NA,7.18,0.34,0.5,shifted ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Plagiopyxis penardi,Plagiopyxis,NA,NA,42.25,73,96,84.5,73,96,84.5,2,1,hemisphere,NA,NA,42.25,NA,NA,42.25,0.5,1,shifted ventral,absent,curved,absence,xenosomes,absence,absence,bacterivory
Planhoogenraadia acuta,Planhoogenraadia,90,96,93,NA,NA,40,NA,NA,31.2,0.43,0.78,ovoid,NA,NA,40,NA,NA,31.2,1,0.78,shifted ventral,strongly,curved,absence,xenosomes,absence,absence,bacterivory
Planocarina carinata,Planocarina,140,246,193,110,175,142.5,NA,NA,73.25,0.74,0.51,pyriform,27,43,35,NA,NA,17.99,0.25,0.51,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Planocarina marginata,Planocarina,140,170,155,90,105,97.5,NA,NA,54.31,0.63,0.56,pyriform,NA,NA,35.2,NA,NA,19.61,0.36,0.56,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Planocarina maxima,Planocarina,280,385,332.5,NA,NA,180.55,NA,NA,131.8,0.54,0.73,ovoid,NA,NA,57.78,NA,NA,42.18,0.32,0.73,straight terminal,absent,straight,absence,cleptostomes,absence,absence,predatory
Pontigulasia elisa,Pontigulasia,85,120,102.5,NA,NA,64.06,NA,NA,64.06,0.62,1,pyriform,NA,NA,25.62,NA,NA,19.73,0.4,0.77,straight terminal,absent,curved,absence,xenosomes,presence,absence,bacterivory
Pontigulasia incisa,Pontigulasia,118,144,131,80,92,86,78,84,81,0.66,0.94,pyriform,29,35,32,27.31,32.97,30.14,0.37,0.94,straight terminal,absent,curved,absence,xenosomes,presence,absence,bacterivory
Pontigulasia spiralis,Pontigulasia,100,155,127.5,NA,NA,60,NA,NA,50,0.47,0.83,pyriform,NA,NA,35,NA,NA,30,0.58,0.86,straight terminal,absent,curved,absence,xenosomes,presence,absence,bacterivory
Porosia bigibbosa,Porosia,135,170,152.5,87,110,98.5,NA,NA,51.22,0.65,0.52,pyriform,34,35,34.5,NA,NA,17.94,0.35,0.52,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Pseudodifflugia archeri,Pseudodifflugia,55,110,82.5,NA,NA,63.28,NA,NA,63.28,0.77,1,ovoid,NA,NA,24.74,NA,NA,24.74,0.39,1,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Pseudodifflugia fascicularis,Pseudodifflugia,29,38,33.5,20,23,21.5,20,23,21.5,0.64,1,pyriform,8,11,9.5,8,11,9.5,0.44,1,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Pseudodifflugia fulva,Pseudodifflugia,15,36,25.5,12,30,21,NA,NA,21,0.82,1,ovoid,6,12,9,NA,NA,9,0.43,1,straight terminal,absent,straight,absence,xenosomes,absence,absence,bacterivory
Pseudodifflugia gracilis,Pseudodifflugia,20,60,40,29,35,32,NA,NA,32,0.8,1,ovoid,NA,NA,18.53,NA,NA,18.53,0.58,1,straight terminal,absent,curved,absence,xenosomes,absence,absence,bacterivory
Pyxidicula operculata,Pyxidicula,5,9,7,18,30,24,18,30,24,3.43,1,hemisphere,NA,NA,15,NA,NA,15,0.62,1,central ventral,absent,curved,absence,organic,absence,absence,bacterivory
Pyxidicula patens,Pyxidicula,17.5,25,21.25,35,50,42.5,35,50,42.5,2,1,hemisphere,35,50,42.5,35,50,42.5,1,1,central ventral,absent,curved,absence,organic,absence,absence,bacterivory
Quadrulella quadrigera,Quadrulella,100,170,135,60,120,90,NA,NA,49.32,0.67,0.55,pyriform,NA,NA,33.03,NA,NA,18.1,0.37,0.55,straight terminal,absent,curved,presence,idiosomes,absence,absence,bacterivory
Quadrulella symmetrica,Quadrulella,72,120,96,36,75,55.5,27,35,31,0.58,0.56,pyriform,18,22,20,10.05,12.29,11.17,0.36,0.56,straight terminal,absent,curved,absence,idiosomes,absence,absence,bacterivory
Quadrulella tropica,Quadrulella,74,93,83.5,45,60,52.5,30,35,32.5,0.63,0.62,pyriform,20,30,25,12.38,18.57,15.48,0.48,0.62,straight terminal,absent,curved,absence,idiosomes,absence,absence,bacterivory
Scutiglypha scutigera,Scutiglypha,75,90,82.5,46,51,48.5,46,51,48.5,0.59,1,ovoid,14,20,17,14,20,17,0.35,1,straight terminal,absent,denticular,absence,idiosomes,absence,absence,bacterivory
Sphenoderia fissirostris,Sphenoderia,28,57,42.5,20,31,25.5,NA,NA,14.08,0.6,0.55,ovoid,8,18,13,NA,NA,7.18,0.51,0.55,straight terminal,absent,straight,presence,idiosomes,absence,absence,bacterivory
Sphenoderia lenta,Sphenoderia,30,60,45,20,46,33,NA,NA,33,0.73,1,ovoid,10,22,16,10,22,16,0.48,1,straight terminal,absent,curved,presence,idiosomes,absence,absence,bacterivory
Sphenoderia macrolepis,Sphenoderia,20,28,24,NA,NA,18.6,NA,NA,9.3,0.78,0.5,ovoid,NA,NA,10.4,NA,NA,5.2,0.56,0.5,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Tracheleuglypha acolla,Tracheleuglypha,34,47,40.5,17,27,22,17,27,22,0.54,1,ovoid,6.8,8.8,7.8,6.8,8.8,7.8,0.35,1,straight terminal,absent,denticular,absence,idiosomes,absence,absence,bacterivory
Tracheleuglypha dentata,Tracheleuglypha,30,100,65,15,50,32.5,15,50,32.5,0.5,1,ovoid,NA,NA,11,NA,NA,11,0.34,1,straight terminal,absent,denticular,presence,idiosomes,absence,absence,bacterivory
Trachelocorythion pulchellum,Trachelocorythion,15,35,25,10,15,12.5,7,10,8.5,0.5,0.68,ovoid,7,10,8.5,2,4,3,0.68,0.35,straight terminal,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trigonopyxis arcula,Trigonopyxis,55,68,61.5,93,112,102.5,93,112,102.5,1.67,1,hemisphere,11,18,14.5,11,18,14.5,0.14,1,central ventral,slightly,lobbed,absence,xenosomes,absence,absence,bacterivory
Trigonopyxis arcula major,Trigonopyxis,75,100,87.5,140,190,165,140,190,165,1.89,1,hemisphere,NA,NA,23.35,NA,NA,23.35,0.14,1,central ventral,slightly,lobbed,absence,xenosomes,absence,absence,bacterivory
Trigonopyxis microstoma,Trigonopyxis,52,60,56,80,130,105,80,130,105,1.88,1,patelliform,10,17,13.5,10,17,13.5,0.13,1,central ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Trigonopyxis minuta,Trigonopyxis,43,56,49.5,69,88,78.5,69,88,78.5,1.59,1,hemisphere,12.5,21.9,17.2,12.5,21.9,17.2,0.22,1,central ventral,slightly,curved,absence,xenosomes,absence,absence,bacterivory
Trinema chardezi,Trinema,25,28,26.5,20,25,22.5,NA,NA,22.5,0.85,1,ovoid,10,12,11,10,12,11,0.49,1,shifted ventral,slightly,straight,absence,idiosomes,absence,absence,bacterivory
Trinema complanatum,Trinema,12,30,21,25,60,42.5,14,40,27,2.02,0.64,ovoid,12,16,14,7,10,8.5,0.33,0.61,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema enchelys,Trinema,32,103,67.5,15,60,37.5,NA,NA,37.5,0.56,1,ovoid,6,20,13,6,20,13,0.35,1,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema enchelys biconvexa,Trinema,NA,NA,67.5,NA,NA,37.5,NA,NA,37.5,0.56,1,ovoid,NA,NA,13,NA,NA,13,0.35,1,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema galeata,Trinema,40,60,50,20,40,30,NA,NA,10,0.6,0.33,ovoid,11,24,17.5,3.67,8,5.83,0.58,0.33,shifted ventral,slightly,denticular,absence,idiosomes,presence,absence,bacterivory
Trinema grandis,Trinema,100,125,112.5,46,60,53,NA,NA,43.46,0.47,0.82,ovoid,12,36,24,NA,NA,19.68,0.45,0.82,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema leidyi,Trinema,30,60,45,NA,NA,90,NA,NA,90,2,1,ovoid,NA,NA,20.25,NA,NA,20.25,0.22,1,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema lineare,Trinema,16,35,25.5,7,17,12,NA,NA,12,0.47,1,ovoid,3,9,6,3,9,6,0.5,1,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema lineare truncatum,Trinema,40,45,42.5,NA,NA,22.67,NA,NA,22.67,0.53,1,ovoid,NA,NA,11.33,NA,NA,11.33,0.5,1,shifted ventral,strongly,denticular,absence,idiosomes,absence,absence,bacterivory
Trinema penardi,Trinema,14,20,17,42,55,48.5,20,30,25,2.85,0.52,ovoid,10,15,12.5,5.15,7.73,6.44,0.26,0.52,shifted ventral,slightly,denticular,absence,idiosomes,absence,absence,bacterivory
Valkanovia elegans,Valkanovia,39,41,40,25,26,25.5,17,18,17.5,0.64,0.69,ovoid,,,7.14,,,2.5,0.28,0.35,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Valkanovia delicatula,Valkanovia,NA,NA,42,NA,NA,24,NA,NA,24,0.57,1,ovoid,NA,NA,5.5,NA,NA,5.5,0.23,1,straight terminal,absent,straight,absence,idiosomes,absence,absence,bacterivory
Wailesella eboracensis,Wailesella,20,28,24,13,17,15,NA,NA,15,0.62,1,ovoid,5,6,5.5,5,6,5.5,0.37,1,shifted ventral,absent,curved,absence,organic,absence,absence,bacterivory
Zivkovicia compressa,Zivkovicia,110,289,199.5,NA,NA,151.62,NA,NA,107.73,0.76,0.71,pyriform,NA,NA,47.88,NA,NA,34.02,0.32,0.71,straight terminal,absent,curved,absence,xenosomes,presence,absence,bacterivory
Zivkovicia compressoidea,Zivkovicia,158,230,194,NA,NA,105,NA,NA,68.25,0.54,0.65,ovoid,38,40,39,NA,NA,25.35,0.37,0.65,straight terminal,absent,curved,absence,xenosomes,presence,absence,bacterivory
Zivkovicia spectabilis,Zivkovicia,102,170,136,NA,NA,70.3,NA,NA,70.3,0.52,1,pyriform,NA,NA,36.49,NA,NA,36.49,0.52,1,straight terminal,absent,curved,absence,xenosomes,presence,absence,bacterivory
